"FunctionID","Endpoint","PoolingWeight","Seasonal_Metric","Study_Author","Study_Year","Start_Age","End_Age","Function","Beta","Adjusted","Parameter_1_Beta","A","Name_A","B","Name_B","C","Name_C","Cases","IncidenceEndpoint","rowid"
"1","Acute Bronchitis","1","Annual","Dockery et al.","1996","8","12","(1-(1/((1-Incidence)*Exp(Beta*DELTAQ)+Incidence)))*Incidence*POP","0.027212423","No","0.017095755","0","","0","","0","","0","Acute Bronchitis","37"
"2","Acute Myocardial Infarction, Nonfatal (high)","1","Daily","Peters et al.","2001","18","99","(1-(1/((1-Incidence*A)*Exp(Beta*DELTAQ)+Incidence*A)))*Incidence*A*POP","0.024121307","No","0.009284863","0.93","% of hospMI surviving 28 days","0","","0","","0","Acute Myocardial Infarction, Nonfatal","38"
"3","Acute Myocardial Infarction, Nonfatal (low)","0.07177","Daily","Pope et al.","2006","0","99","(1-(1/((1-Incidence*A)*Exp(Beta*DELTAQ)+Incidence*A)))*Incidence*A*POP","0.00481","No","0.001992347","0.93","","0","","0","","0","Acute Myocardial Infarction, Nonfatal","39"
"4","Acute Myocardial Infarction, Nonfatal (low)","0.05671","Daily","Sullivan et al.","2005","0","99","(1-(1/((1-Incidence*A)*Exp(Beta*DELTAQ)+Incidence*A)))*Incidence*A*POP","0.001980263","No","0.002241361","0.93","","0","","0","","0","Acute Myocardial Infarction, Nonfatal","40"
"5","Acute Myocardial Infarction, Nonfatal (low)","0.05815","Daily","Zanobetti and Schwartz","2006","0","99","(1-(1/((1-Incidence*A)*Exp(Beta*DELTAQ)+Incidence*A)))*Incidence*A*POP","0.005300245","No","0.002213385","0.93","","0","","0","","0","Acute Myocardial Infarction, Nonfatal","41"
"6","Acute Myocardial Infarction, Nonfatal (low)","0.81336","Daily","Zanobetti et al.","2009","0","99","(1-(1/Exp(Beta*DELTAQ)))*Incidence*POP*A","0.00225","No","0.000591837","0.93","","0","","0","","0","Acute Myocardial Infarction, Nonfatal","42"
"7","Asthma Exacerbation, Cough","0.00192","Daily","Mar et al.","2004","6","17","(A - (A/((1-A)*Exp(Beta*DELTAQ)+A)))*POP*B","0.019062036","No","0.009828122","0.145","cough8to13Black; Ostro et al., 2001, p 202, weighted avg of average daily prevalence.","0.107","Asthmatic population ages 6 to 17","0","","0","Asthma Exacerbation, Cough","43"
"8","Asthma Exacerbation, Cough","0.33142","Daily","Ostro et al.","2001","6","17","(1-(1/((1-A)*Exp(Beta*DELTAQ)+A)))*A*POP*B","0.000985293","No","0.00074712","0.145","cough8to13Black; Ostro et al., 2001, p 202, weighted avg of average daily prevalence.","0.107","Asthmatic population ages 6 to 17","0","","0","Asthma Exacerbation, Cough","44"
"9","Asthma Exacerbation, Shortness of Breath","0.00307","Daily","Mar et al.","2004","6","17","(A - (A/((1-A)*Exp(Beta*DELTAQ)+A)))*POP*B","0.012221763","No","0.013848596","0.074","shortbreath8to13Black; Ostro et al., 2001, p 202, weighted avg of average daily prevalence.","0.107","Asthmatic population ages 6 to 17","0","","0","Asthma Exacerbation, Shortness of Breath","45"
"10","Asthma Exacerbation, Shortness of Breath","0.33026","Daily","Ostro et al.","2001","6","17","(1-(1/((1-A)*Exp(Beta*DELTAQ)+A)))*A*POP*B","0.002565368","No","0.001335066","0.074","shortbreath8to13Black; Ostro et al., 2001, p 202, weighted avg of average daily prevalence.","0.107","Asthmatic population ages 6 to 17","0","","0","Asthma Exacerbation, Shortness of Breath","46"
