From_State,To_State,Sum
AZ,AZ,1.96E-07
AZ,CA,2.11E-08
AZ,CO,6.00E-08
AZ,ID,9.19E-09
AZ,MT,1.10E-08
AZ,NV,7.08E-09
AZ,NM,5.76E-08
AZ,OR,5.19E-09
AZ,UT,2.37E-08
AZ,WA,4.07E-09
AZ,WY,9.70E-09
CA,AZ,5.70E-08
CA,CA,3.75E-06
CA,CO,6.64E-08
CA,ID,5.95E-08
CA,MT,2.91E-08
CA,NV,3.28E-07
CA,NM,3.85E-08
CA,OR,4.36E-08
CA,UT,9.65E-08
CA,WA,1.54E-08
CA,WY,1.53E-08
CO,AZ,2.83E-08
CO,CA,2.95E-08
CO,CO,5.38E-06
CO,ID,7.12E-08
CO,MT,1.09E-07
CO,NV,1.59E-08
CO,NM,2.16E-07
CO,OR,1.85E-08
CO,UT,1.32E-07
CO,WA,2.32E-08
CO,WY,1.40E-07
ID,AZ,2.21E-08
ID,CA,3.12E-08
ID,CO,1.64E-07
ID,ID,2.83E-06
ID,MT,2.56E-07
ID,NV,2.48E-08
ID,NM,6.84E-08
ID,OR,1.04E-07
ID,UT,2.19E-07
ID,WA,1.68E-07
ID,WY,1.39E-07
MT,AZ,6.66E-09
MT,CA,2.27E-08
MT,CO,9.51E-08
MT,ID,1.27E-07
MT,MT,1.96E-06
MT,NV,1.06E-08
MT,NM,2.52E-08
MT,OR,2.79E-08
MT,UT,3.64E-08
MT,WA,3.93E-08
MT,WY,1.09E-07
NV,AZ,9.97E-09
NV,CA,9.56E-08
NV,CO,4.12E-08
NV,ID,6.17E-08
NV,MT,4.03E-08
NV,NV,6.10E-07
NV,NM,1.51E-08
NV,OR,1.51E-08
NV,UT,5.59E-08
NV,WA,9.69E-09
NV,WY,2.03E-08
NM,AZ,2.67E-08
NM,CA,2.01E-08
NM,CO,2.15E-07
NM,ID,1.85E-08
NM,MT,2.22E-08
NM,NV,8.27E-09
NM,NM,1.03E-06
NM,OR,9.33E-09
NM,UT,2.60E-08
NM,WA,8.34E-09
NM,WY,1.88E-08
OR,AZ,4.64E-09
OR,CA,9.05E-08
OR,CO,1.97E-08
OR,ID,1.37E-07
OR,MT,5.57E-08
OR,NV,2.68E-08
OR,NM,8.98E-09
OR,OR,1.61E-06
OR,UT,2.43E-08
OR,WA,3.63E-07
OR,WY,1.12E-08
UT,AZ,2.66E-08
UT,CA,2.29E-08
UT,CO,1.80E-07
UT,ID,2.40E-07
UT,MT,9.72E-08
UT,NV,1.77E-08
UT,NM,6.71E-08
UT,OR,1.71E-08
UT,UT,1.31E-06
UT,WA,2.38E-08
UT,WY,9.05E-08
WA,AZ,1.46E-09
WA,CA,2.13E-08
WA,CO,8.51E-09
WA,ID,1.75E-07
WA,MT,1.04E-07
WA,NV,5.84E-09
WA,NM,2.43E-09
WA,OR,2.62E-07
WA,UT,7.72E-09
WA,WA,1.87E-06
WA,WY,8.18E-09
WY,AZ,7.26E-09
WY,CA,1.46E-08
WY,CO,1.86E-07
WY,ID,6.92E-08
WY,MT,1.20E-07
WY,NV,8.41E-09
WY,NM,3.05E-08
WY,OR,7.61E-09
WY,UT,6.72E-08
WY,WA,1.21E-08
WY,WY,5.59E-07
